,len,metric,overall,overall_p,ts,cpp,java,py,rs,ts_p,cpp_p,java_p,py_p,rs_p
0,3,mccabe,0.10376305809773972,2.5093079381317972e-116,0.0725159411354307,0.0864054769426717,0.027446497190036008,0.1567673234235846,0.09844654978116728,7.308737552544471e-29,9.610319243267918e-50,0.00029158970037317317,3.657417142623357e-18,3.530230518485412e-33
1,3,fanout,0.20054672398602147,3.776807066216554e-108,0.150575787321727,0.11580768456579658,0.2050152566798958,0.2220381331504453,0.21869185208480751,5.544334082440288e-10,4.3849518258716765e-13,1.703595785075335e-30,4.531435999880418e-26,3.260048774644682e-12
2,3,chars,0.34922552465760565,1.5841100292439864e-300,0.3089389342289574,0.26453704383839766,0.28153591661126603,0.2582698754075223,0.4163371072149278,6.245038936016098e-34,7.525044311086488e-56,1.0561418246843017e-51,4.418027826701272e-33,4.5133774716112867e-38
3,3,identifiers,0.3179872995376279,5.568226664704052e-252,0.2948055424853569,0.1627312630710454,0.2718392387698974,0.24008978535504136,0.3205951725764604,2.168926427787996e-31,2.3075691415301405e-22,2.9152617184378403e-49,5.824138954896088e-29,1.8977754374730176e-23
4,3,halstead,0.3311846535489797,3.4865501350157297e-271,0.27553083034521547,0.09241303357348055,0.31185142362182505,0.2611882255884224,0.31565309117593104,2.3663767414519036e-27,3.6598358968141847e-08,1.3556380838417157e-63,7.890649684296192e-34,1.355310034876852e-22
5,3,entropy,0.4122282963319145,0.0,0.34868935202461887,0.2483660513483454,0.4315898197374897,0.39495771956504455,0.5351606520428754,9.01356602052749e-43,1.83952529641517e-49,4.8808826119769236e-119,5.38479670580716e-75,9.471731074184818e-62
6,4,mccabe,0.15668221236875002,1.2328376383248161e-124,0.10830633160881274,0.23396786951977455,0.0994350896362355,0.1571806193002647,0.055412750933547236,2.7831410292150293e-10,4.4175684408858976e-126,5.461768576183308e-12,6.149687120857256e-20,0.004403775309053095
7,4,fanout,0.17598302242726885,1.6145236430655697e-85,0.10301481982278436,0.15794899033291734,0.22703467682995648,0.27969936712284643,0.15336684684356208,3.024567430106318e-05,1.3942621329235904e-25,2.40695051656923e-31,1.2497478386100138e-45,4.532357241305412e-07
8,4,chars,0.19178593511900055,5.829219325157441e-97,0.2380338414016566,0.12823081654864074,0.1910546985727893,0.1799138708384069,0.27262541739967977,4.860305561424001e-21,1.3702165179672319e-16,8.366470767034997e-22,3.9067822916857053e-19,1.2492880496803968e-18
9,4,identifiers,0.17563232802568715,5.229164498960293e-82,0.2176058366460482,0.058955234846809354,0.16720815817548212,0.24048729036890992,0.21163872861348865,6.029257057018489e-18,0.00013793826192663237,3.698654595984686e-17,5.095901525059299e-33,6.8428033622656605e-12
10,4,halstead,0.24338246696407034,5.637231292409925e-155,0.20719460985463942,0.12451156316713352,0.23831424283210406,0.3215345470305347,0.2260384478656786,2.489065459998514e-16,9.86016357641793e-16,4.993902380812913e-33,1.8148756780236352e-57,2.7780016419493905e-13
11,4,entropy,0.34131940652909387,1.0725724791643794e-302,0.3140598998108526,0.28369323627870796,0.3947561590911531,0.3417776203287326,0.3975832596522252,2.0428897367743796e-35,9.904473369076303e-75,1.7914968733972538e-87,1.1119267660484794e-64,8.824272651884679e-38
12,5,mccabe,0.08082904338735175,5.344973552518228e-28,0.05020324995136336,0.08960565912164518,0.004399961107616765,0.09350806069975076,0.1664196779871609,0.009977263569878173,2.6467009346831993e-11,0.7669040761994625,1.034986228461519e-07,4.226687732911053e-35
13,5,fanout,0.18482820379069595,2.5649197881685664e-106,0.17172074539892013,0.09509683289436319,0.18753353374986492,0.321688566741332,0.27660535778158474,3.309226553645723e-15,3.836883431025036e-09,5.415380365803838e-30,2.1883118845040743e-63,3.362655854473177e-25
14,5,chars,0.2355744947472526,6.939633284021944e-166,0.2615891273805681,0.18910596087106563,0.1463793127499351,0.21391594630406663,0.22236099606543797,1.851665172783247e-31,9.407135450838333e-31,3.0980861827894363e-18,3.088148922340151e-28,2.5034454223587883e-16
15,5,identifiers,0.21503138283166096,4.2196697741157045e-139,0.28499749676249747,0.09121221570007756,0.10243745727927792,0.3180975328895479,0.1474901871270167,3.0089884562403103e-37,2.5484775889304944e-08,9.765752988415124e-10,1.8421456109387788e-60,5.011427775092935e-08
16,5,halstead,0.22678336106659047,6.608473214530217e-154,0.24630644477222155,0.09959667396342001,0.11108743145165403,0.3695949143452062,0.2256881365424801,4.392531463066507e-28,1.2611084069532539e-09,3.8131812327584e-11,8.090175107198646e-81,8.928321223883073e-17
17,5,entropy,0.3064996845530866,2.349412498191761e-279,0.3483851827740614,0.2901601700145042,0.26352192183338863,0.2532191532321671,0.36948261215384326,1.868026036764474e-54,5.010529358614192e-70,2.075994924540522e-55,6.90825881602879e-39,3.1691727117894854e-42
18,6,mccabe,0.07361693387468388,1.338378893555026e-22,0.09505599962185951,0.018867569776480988,0.0425577055880927,0.05870691572159217,0.21034156070805285,1.875551661545753e-06,0.19822381752925733,0.001751211398993149,0.0016962204099492556,4.1887052602748584e-27
19,6,fanout,0.1822820393977789,3.4321909716385736e-105,0.10729581035259113,0.21860457686860404,0.11767734910497296,0.30875605959528574,0.26565413861879833,1.493310933336275e-06,1.6042268763166299e-40,1.1018685507945964e-14,5.003891441869434e-54,7.324206593272693e-26
20,6,chars,0.212931106469739,2.401940396004841e-139,0.1547288085837892,0.30583948747164746,0.09105300324713285,0.20996642205915053,0.18462727499376713,1.1018505393893e-11,9.836480677776068e-76,3.4876518741520868e-09,2.453302481212989e-25,5.107506225043876e-13
21,6,identifiers,0.19594026609972123,1.3041172084568613e-118,0.14341537986949177,0.23393873060581213,0.04887920915245624,0.3282606181899044,0.12854493891797555,2.779304927252056e-10,3.710571582125863e-45,0.0014937057506323721,1.4771087632967068e-59,4.679189100502827e-07
22,6,halstead,0.23428990929424048,2.7706742379067353e-168,0.16270738642724403,0.2524261869455951,0.08985267089537,0.34870535912830775,0.2950913113936674,9.131947006755113e-13,3.542731099494273e-52,5.565949317209015e-09,7.362405302626403e-67,7.938088253474332e-31
23,6,entropy,0.33984770076804605,0.0,0.24490318857020602,0.38452629662857934,0.2925795298126702,0.27704425172337116,0.44541542009473944,5.858621952141446e-27,1.3351794564271117e-118,2.489543244165334e-80,7.324230934760815e-43,5.446861260240218e-68
