ext,proj_name,type,len,text,referencedLine
cpp,godot,inline,1,"// Ensure that path comes third, even if there is no type.","path += ""::"";"
cpp,bitcoin,block,2,"// Check transactions
// Must check for duplicate inputs (see CVE-2018-17144)","for (const auto& tx : block.vtx) {
        TxValidationState tx_state;
        if (!CheckTransaction(*tx, tx_state)) {
            // CheckBlock() does context-free validation checks. The only
            // possible failures are consensus failures.
            assert(tx_state.GetResult() == TxValidationResult::TX_CONSENSUS);
            return state.Invalid(BlockValidationResult::BLOCK_CONSENSUS, tx_state.GetRejectReason(),
                                 strprintf(""Transaction check failed (tx hash %s) %s"", tx->GetHash().ToString(), tx_state.GetDebugMessage()));
        }
    }"
cpp,tensorflow,block,1,/*buffer_allocations=*/,nullptr )
cpp,terminal,block,11,"// The _cached members store characters in `target`'s encoding that didn't fit into
// the client's buffer. So, if slice.empty() == false, then we'll store `slice` there.
//
// But it would be incorrect to test for slice.empty() == false, because the exit
// condition is actually ""if the target has no space left"" and that's subtly different.
// This difference can be seen when `source` contains ""abc"" and `target` is 1 character large.
// Testing for `target.empty() will ensure we:
// * exit right after copying ""a""
// * don't store anything in `_cachedTextA`
// * leave ""bc"" in the `source` string, for the caller to handle
// Otherwise we'll copy ""a"", store ""b"" and return ""c"", which is wrong. See GH#16223.","if (target.empty())
                {
                    if (!slice.empty())
                    {
                        _cachedTextA = slice;
                        _cachedTextReaderA = _cachedTextA;
                    }
                    break;
                }"
cpp,grpc,singleton,1,// first event case,"if (head_trace_ == nullptr) {
    head_trace_ = tail_trace_ = new_trace_event;
  } else {
    // regular event add case
    tail_trace_->set_next(new_trace_event);
    tail_trace_ = tail_trace_->next();
  }"
cpp,bitcoin,block,10,"// Also store the hash of the block with the highest height of
// all the blocks which have sequence locked prevouts.
// This hash needs to still be on the chain
// for these LockPoint calculations to be valid
// Note: It is impossible to correctly calculate a maxInputBlock
// if any of the sequence locked inputs depend on unconfirmed txs,
// except in the special case where the relative lock time/height
// is 0, which is equivalent to no sequence lock. Since we assume
// input height of tip+1 for mempool txs and test the resulting
// min_height and min_time from CalculateSequenceLocks against tip+1.",int max_input_height{0};
cpp,godot,block,1,"/* memcmp/UnicodeString style, both length-specified */",int32_t lengthResult;
cpp,opencv,singleton,1,"// For 2x2 grid, 3x3 grid and 4x4 grid",const int pattern_size = options_->descriptor_pattern_size;
cpp,bitcoin,singleton,1,// during reorgs to ensure COINBASE_MATURITY is still met.,bool fSpendsCoinbase = false;
cpp,imgui,block,2,"// Keep up at the bottom of the scroll region if we were already at the bottom at the beginning of the frame.
// Using a scrollbar or mouse-wheel will take away from the bottom edge.","if (AutoScroll && ImGui::GetScrollY() >= ImGui::GetScrollMaxY())
                ImGui::SetScrollHereY(1.0f);"
cpp,godot,block,2,"// could be made available here but probably obsolete with use of modern
// memory leak checker tools",#define _dbgct(me)
